TaskID GiftID GiftType TaskType	 RequestTime TaskArrival  TT	Responsible
----------------------------------------------------------------------------
1	 1	 1	 C	    0		 0	  1	 B		--NZ gift
2	 2	 1	 C	    1		 1	  1	 B
3	 1	 1	 D	    1		 0	  2	 S		--NZ gift
5	 2	 1	 D	    2		 1	  2	 S
4	 3	 3	 A	    2		 2	  1	 B
8	 3	 3	 C	    4		 2	  3	 B
9	 6	 1	 C	    5		 5	  1	 B
10	 3	 3	 D	    5		 2	  4	 S
7	 5	 2	 P	    4		 4	  3	 A
12	 6	 1	 D	    6		 5	  2	 S
13	 8	 1	 C	    7		 7	  1	 A
6	 4	 3	 A	    3		 3	  5	 B
14	 5	 2	 C	    7		 4	  5	 B
16	 4	 3	 C	    8		 3	  6	 A
17	 8	 1	 D	    8		 7	  2	 S
18	 10	 1	 C	    9		 9	  1	 B
19	 5	 2	 D	    9		 4	  6	 S
20	 4	 3	 D	    9		 3	  8	 S
11	 7	 3	 A	    6		 6	  5	 B
22	 10	 1	 D	    10		 9	  3	 S
23	 12	 1	 C	    11		 11	  1	 A
24	 7	 3	 C	    12		 6	  6	 B
26	 12	 1	 D	    12		 11	  2	 S
27	 7	 3	 D	    13		 6	  8	 S
15	 9	 3	 A	    8		 8	  6	 B
25	 13	 2	 P	    12		 12	  3	 A
28	 14	 1	 C	    13		 13	  3	 B
29	 15	 1	 C	    14		 14	  2	 A
31	 9	 3	 C	    15		 8	  9	 B
34	 14	 1	 D	    16		 13	  4	 S
32	 13	 2	 C	    15		 12	  5	 A
33	 17	 1	 C	    16		 16	  2	 B
35	 15	 1	 D	    16		 14	  4	 S
40	 19	 1	 C	    18		 18	  1	 B
38	 9	 3	 D	    17		 8	  11	 S
39	 13	 2	 D	    17		 12	  8	 S
30	 16	 2	 P	    15		 15	  5	 A
21	 11	 3	 A	    10		 10	  11	 B
41	 17	 1	 D	    18		 16	  5	 S
44	 21	 1	 C	    20		 20	  1	 A
45	 16	 2	 C	    20		 15	  7	 B
