TaskID GiftID GiftType TaskType	 RequestTime TaskArrival  TT	Responsible
----------------------------------------------------------------------------
1	 1	 1	 C	    0		 0	  1	 B		--NZ gift
2	 2	 1	 C	    1		 1	  1	 A
3	 1	 1	 D	    1		 0	  3	 S		--NZ gift
5	 2	 1	 D	    2		 1	  3	 S
6	 4	 3	 A	    3		 3	  1	 B
4	 3	 2	 P	    2		 2	  3	 A
7	 5	 1	 C	    4		 4	  1	 B
8	 4	 3	 C	    5		 3	  4	 A
9	 3	 2	 C	    5		 2	  6	 B
10	 6	 1	 C	    5		 5	  3	 A
12	 5	 1	 D	    7		 4	  4	 S
14	 8	 1	 C	    8		 8	  1	 B
13	 4	 3	 D	    7		 3	  6	 S
15	 3	 2	 D	    8		 2	  8	 S
11	 7	 2	 P	    7		 7	  4	 A
17	 9	 3	 A	    9		 9	  2	 B
16	 6	 1	 D	    8		 5	  6	 S
19	 10	 1	 C	    10		 10	  2	 A
21	 7	 2	 C	    11		 7	  5	 B
18	 8	 1	 D	    9		 8	  4	 S
22	 9	 3	 C	    11		 9	  4	 A
23	 12	 1	 C	    12		 12	  1	 B
24	 10	 1	 D	    12		 10	  3	 S
25	 7	 2	 D	    12		 7	  7	 S
29	 14	 1	 C	    14		 14	  1	 B
27	 9	 3	 D	    13		 9	  6	 S
20	 11	 2	 P	    11		 11	  5	 A
30	 15	 1	 C	    15		 15	  1	 B
28	 12	 1	 D	    13		 12	  4	 S
32	 11	 2	 C	    16		 11	  6	 A
31	 14	 1	 D	    15		 14	  3	 S
36	 17	 1	 C	    17		 17	  1	 B
34	 15	 1	 D	    16		 15	  3	 S
35	 11	 2	 D	    17		 11	  8	 S
26	 13	 2	 P	    13		 13	  7	 A
37	 18	 3	 A	    18		 18	  2	 B
38	 17	 1	 D	    18		 17	  3	 S
39	 19	 1	 C	    19		 19	  2	 A
40	 13	 2	 C	    20		 13	  8	 B
41	 18	 3	 C	    20		 18	  4	 A
43	 19	 1	 D	    21		 19	  3	 S
45	 21	 1	 C	    21		 21	  1	 B
44	 13	 2	 D	    21		 13	  10	 S
47	 22	 1	 C	    22		 22	  1	 B
46	 18	 3	 D	    22		 18	  6	 S
33	 16	 2	 P	    16		 16	  9	 A
48	 21	 1	 D	    22		 21	  4	 S
49	 23	 5	 A	    23		 23	  2	 B
52	 24	 1	 C	    24		 24	  2	 A
51	 22	 1	 D	    23		 22	  4	 S
53	 16	 2	 C	    25		 16	  10	 B
55	 24	 1	 D	    26		 24	  3	 S
56	 26	 1	 C	    26		 26	  1	 B
57	 16	 2	 D	    26		 16	  12	 S
42	 20	 2	 P	    20		 20	  9	 A
59	 26	 1	 D	    27		 26	  3	 S
61	 20	 2	 C	    29		 20	  10	 A
50	 23	 5	 Q	    23		 23	  7	 S
62	 29	 1	 C	    29		 29	  1	 B
63	 20	 2	 D	    30		 20	  11	 S
64	 23	 5	 C	    30		 23	  8	 B
66	 29	 1	 D	    30		 29	  3	 S
54	 25	 2	 P	    25		 25	  8	 A
68	 23	 5	 D	    31		 23	  10	 S
65	 30	 3	 A	    30		 30	  3	 B
70	 25	 2	 C	    33		 25	  9	 B
71	 33	 1	 C	    33		 33	  2	 B
74	 25	 2	 D	    34		 25	  10	 S
67	 31	 2	 P	    31		 31	  5	 A		--NZ gift
72	 30	 3	 C	    33		 30	  6	 B
76	 33	 1	 D	    35		 33	  3	 S
77	 31	 2	 C	    36		 31	  6	 A		--NZ gift
79	 30	 3	 D	    36		 30	  7	 S
80	 31	 2	 D	    37		 31	  7	 S		--NZ gift
81	 37	 5	 A	    37		 37	  2	 B
82	 37	 5	 Q	    37		 37	  2	 S
58	 27	 2	 P	    27		 27	  13	 A
83	 38	 1	 C	    38		 38	  2	 B
84	 39	 1	 C	    39		 39	  2	 A
85	 37	 5	 C	    39		 37	  4	 B
88	 38	 1	 D	    40		 38	  3	 S
86	 27	 2	 C	    40		 27	  15	 A
89	 39	 1	 D	    41		 39	  3	 S
87	 40	 3	 A	    40		 40	  3	 B
91	 37	 5	 D	    41		 37	  6	 S
94	 43	 1	 C	    43		 43	  1	 B
92	 27	 2	 D	    42		 27	  17	 S
60	 28	 2	 P	    28		 28	  17	 A
95	 40	 3	 C	    43		 40	  5	 B
97	 43	 1	 D	    44		 43	  2	 S
98	 28	 2	 C	    45		 28	  18	 A
99	 45	 1	 C	    45		 45	  1	 B
100	 40	 3	 D	    45		 40	  6	 S
101	 28	 2	 D	    46		 28	  19	 S
93	 42	 3	 A	    42		 42	  6	 B
103	 45	 1	 D	    46		 45	  3	 S
69	 32	 2	 P	    32		 32	  17	 A
104	 47	 1	 C	    47		 47	  2	 B
106	 42	 3	 C	    48		 42	  8	 A
107	 32	 2	 C	    49		 32	  18	 B
109	 47	 1	 D	    49		 47	  3	 S
110	 42	 3	 D	    50		 42	  9	 S
102	 46	 3	 A	    46		 46	  6	 B
112	 32	 2	 D	    50		 32	  20	 S
73	 34	 2	 P	    34		 34	  19	 A
115	 46	 3	 C	    52		 46	  7	 B
116	 34	 2	 C	    53		 34	  20	 A
117	 53	 1	 C	    53		 53	  1	 B
118	 46	 3	 D	    53		 46	  8	 S
119	 34	 2	 D	    54		 34	  21	 S
114	 52	 3	 A	    52		 52	  4	 B
122	 53	 1	 D	    54		 53	  3	 S
75	 35	 2	 P	    35		 35	  22	 A
123	 55	 1	 C	    55		 55	  2	 B
121	 54	 5	 Q	    54		 54	  3	 S
124	 56	 1	 C	    56		 56	  2	 A
125	 52	 3	 C	    56		 52	  6	 B
128	 55	 1	 D	    57		 55	  3	 S
126	 35	 2	 C	    57		 35	  24	 A
127	 57	 1	 C	    57		 57	  2	 B
129	 56	 1	 D	    58		 56	  3	 S
132	 52	 3	 D	    58		 52	  8	 S
